10,10|||3	12.145132
10,10|||4	10.001071
10,10|||5	12.145132
10,10|||6	12.145132
10,10|||7	11.341759
10,10|||8	12.232970
10,10|||9	12.232970
10,11|||0	1.970911
10,11|||10	2.850963
10,11|||11	2.751314
10,11|||12	3.070402
10,11|||13	3.010585
10,11|||14	3.035639
10,11|||2	2.895984
10,11|||3	2.813518
10,11|||4	2.583590
10,11|||5	2.813518
10,11|||6	2.813518
10,11|||7	2.895984
10,11|||8	3.070402
10,11|||9	3.070402
10,12|||0	4.488222
10,12|||10	6.021677
10,12|||11	6.143979
10,12|||12	5.177974
10,12|||13	6.097068
10,12|||14	6.094424
10,12|||2	5.905918
10,12|||3	5.771821
10,12|||4	5.554054
10,12|||5	5.771821
10,12|||6	5.771821
10,12|||7	5.905918
10,12|||8	6.143979
10,12|||9	6.143979
10,13|||0	5.056823
10,13|||10	7.979878
10,13|||11	8.118552
10,13|||12	8.118552
10,13|||13	5.569847
10,13|||14	8.051725
10,13|||2	7.877888
10,13|||3	7.546162
10,13|||4	7.485641
10,13|||5	7.546162
10,13|||6	7.546162
10,13|||7	7.877888
10,13|||8	8.185985
10,13|||9	8.185985
10,14|||0	7.082359
10,14|||10	10.914030
10,14|||11	10.878921
10,14|||12	10.878921
10,14|||13	9.648654
10,14|||14	9.130157
10,14|||2	10.268008
10,14|||3	10.918534
10,14|||4	9.212023
10,14|||5	10.918534
10,14|||6	10.918534
10,14|||7	10.268008
10,14|||8	10.878921
10,14|||9	10.878921
10|0||0	5.461366
10|0||10	8.041924
10|0||11	10.376538
10|0||12	10.276614
10|0||13	10.236698
10|0||14	9.244842
10|0||2	9.613088
10|0||3	10.185585
10|0||4	8.189135
10|0||5	10.185576
10|0||6	10.184842
10|0||7	9.611074
10|0||8	10.389300
10|0||9	10.386752
10|10||0	3.434457
10|10||10	5.297319
10|10||11	6.095652
10|10||12	5.827276
10|10||13	5.166706
10|10||14	5.528668
10|10||2	5.740633
10|10||3	5.812221
10|10||4	5.182684
10|10||5	5.812221
10|10||6	5.811663
10|10||7	5.738575
10|10||8	6.115432
10|10||9	6.111947
10|11||0	4.195956
10|11||10	6.492227
10|11||11	6.934055
10|11||12	6.945955
10|11||13	6.093565
10|11||14	6.462526
10|11||2	6.715422
10|11||3	6.926266
10|11||4	6.063952
10|11||5	6.926266
10|11||6	6.925717
10|11||7	6.713699
10|11||8	7.170237
10|11||9	7.167434
10|12||0	3.944189
10|12||10	6.203227
10|12||11	6.903881
10|12||12	6.531909
10|12||13	5.778161
10|12||14	6.180762
10|12||2	6.469687
10|12||3	6.692757
10|12||4	5.828652
10|12||5	6.692757
10|12||6	6.692090
10|12||7	6.467696
10|12||8	6.924794
10|12||9	6.921443
10|13||0	9.035318
10|13||10	11.614446
10|13||11	14.702561
10|13||12	14.645942
10|13||13	14.701902
10|13||14	13.409307
10|13||2	13.459076
10|13||3	14.712366
10|13||4	11.701651
10|13||5	14.712366
10|13||6	14.711583
10|13||7	13.457209
10|13||8	14.712809
10|13||9	14.710464
10|14||0	3.452360
10|14||10	5.300117
10|14||11	6.050964
10|14||12	5.784519
10|14||13	4.944160
10|14||14	5.751104
10|14||2	5.678191
10|14||3	5.773532
10|14||4	5.132012
10|14||5	5.773532
10|14||6	5.773012
10|14||7	5.676349
10|14||8	6.069798
10|14||9	6.066842
10|2||0	3.620681
10|2||10	5.710727
10|2||11	6.352618
10|2||12	6.131604
10|2||13	5.419372
10|2||14	5.812379
10|2||2	5.732357
10|2||3	6.106156
10|2||4	5.428028
10|2||5	6.106156
10|2||6	6.105685
